Kód;Obec;Voliči;Obálky;Platné hlasy;1;2;3;4;44;5;6;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
589918;Prostějovičky;0;0;0;242;0;0;0;0;0;0;27,73;0,00;0,00;0,00;0,00;14,59;10,94;0,00;9,48;0,00;1,45;0,00;0,00;0,00;0,72;3,64;0,00;0,72;4,37;8,02;0,72;8,75;8,75;0,00;0,00
589926;Protivanov;0;0;0;805;0;0;0;0;0;0;26,32;0,18;0,00;0,00;0,36;9,50;18,46;0,00;8,22;1,82;0,73;0,18;0,00;0,18;0,18;2,74;0,00;0,91;0,36;12,43;0,91;5,66;10,78;0,00;0,00
589934;Přemyslovice;0;0;0;0;1029;0;0;0;0;0;32,73;0,00;0,16;0,16;0,16;11,99;12,47;0,00;5,83;0,16;0,97;0,32;0,00;0,16;0,00;1,45;0,16;0,97;1,45;16,36;1,78;3,88;8,75;0,00;0,00
589942;Ptení;0;0;0;0;880;0;0;0;0;0;25,96;0,00;0,00;0,19;0,96;9,42;21,92;0,00;5,00;1,15;0,76;0,00;0,57;0,19;0,19;3,26;0,00;0,38;1,15;10,19;1,53;7,30;9,80;0,00;0,00
589951;Raková u Konice;0;0;0;163;0;0;0;0;0;0;29,70;0,00;0,00;0,00;1,98;15,84;18,81;0,00;4,95;0,00;0,00;0,00;0,00;0,00;0,00;4,95;0,99;0,00;0,99;10,89;0,99;9,90;0,00;0,00;0,00
589969;Rakůvka;0;0;0;80;0;0;0;0;0;0;27,86;0,00;0,00;0,00;0,00;13,11;3,27;0,00;1,63;0,00;1,63;0,00;0,00;0,00;0,00;0,00;3,27;0,00;0,00;21,31;3,27;6,55;18,03;0,00;0,00
589977;Rozstání;0;0;0;0;503;0;0;0;0;0;32,41;0,00;0,34;0,00;0,00;9,65;12,06;0,00;8,27;0,00;2,41;0,00;0,00;0,00;0,34;2,06;0,00;1,72;2,06;14,82;1,72;6,55;5,51;0,00;0,00
506770;Seloutky;0;0;0;410;0;0;0;0;0;0;30,31;0,00;0,00;0,00;0,00;11,49;10,45;0,00;11,84;0,00;0,69;0,00;0,00;0,00;0,00;2,09;0,00;1,04;1,04;11,14;3,13;10,10;6,62;0,00;0,00
589993;Skalka;0;0;0;212;0;0;0;0;0;0;23,66;0,00;0,00;0,00;0,00;15,26;12,97;0,00;5,34;0,76;0,76;0,00;0,00;0,00;0,00;5,34;0,00;0,76;0,76;15,26;3,05;10,68;5,34;0,00;0,00
590002;Skřípov;0;0;0;274;0;0;0;0;0;0;25,00;0,00;0,00;0,00;0,00;29,86;8,33;0,00;2,77;0,00;1,38;0,00;0,00;0,00;0,00;0,69;0,00;0,69;1,38;13,19;0,69;8,33;7,63;0,00;0,00
